TCID,Test Summary,Description,Test Type,Test Repository Path,Label,Action,Data,Expected Result
QA-001,Test order status transition from Draft/Pending to Cancelled on user cancellation request,"This test verifies that an order in 'Draft' or 'Pending' status can be cancelled by the user, changing the status to 'Cancelled'.",Manual,Test/path_to_testcases/Ecommerce/Order,regression;negative,Create an order and set its status to 'Draft',,Order is created with status 'Draft'
,,,,,,Send a cancellation request for the order,,Cancellation request is received and processed
,,,,,,Check the order status,,Order status is updated to 'Cancelled'
QA-002,"Test inability to cancel an order in Paid, Cancelled, or Shipped status","This test ensures that once an order has reached a status of 'Paid', 'Cancelled', or 'Shipped', it cannot be cancelled.",Manual,Test/path_to_testcases/Ecommerce/Order,regression;negative,Set the order status to 'Paid',,Order status is 'Paid'
,,,,,,Attempt to cancel the order,,Cancellation attempt is rejected
,,,,,,Set the order status to 'Cancelled',,Order status is 'Cancelled'
,,,,,,Attempt to cancel the order again,,Cancellation attempt is rejected as order is already 'Cancelled'
,,,,,,Set the order status to 'Shipped',,Order status is 'Shipped'
,,,,,,Attempt to cancel the order,,Cancellation attempt is rejected
QA-003,Test status change and notification to users after payment completion with Stripe integration,"This test checks if a user receives a notification and the order status is updated to 'Paid' after a successful payment through Stripe, as well as handling payment errors.",Manual,Test/path_to_testcases/Payment/OrderIntegration,integration;regression,Initiate payment through Stripe for an order in 'Pending' status,,Payment process is initiated
,,,,,,Simulate a successful Stripe payment,,Payment is successful and confirmed
,,,,,,Check the order status,,Order status is updated to 'Paid'
,,,,,,Verify the user notification,,User receives a notification confirming payment completion
,,,,,,Simulate a payment error with Stripe,,Payment error is logged
,,,,,,Verify the user is notified about the payment failure,,User receives a notification about the payment error
QA-004,Test order status and notification upon partial or full refund,"This test verifies that an order's status is updated and the user is notified when a refund is issued, whether partially or fully, across the integrated features.",Manual,Test/path_to_testcases/Payment/OrderIntegration,integration;regression,Set an order to the 'Paid' status,,Order status is 'Paid'
,,,,,,Initiate a partial refund for the order,,Partial refund is processed successfully
,,,,,,Check the order status after partial refund,,"Order status remains 'Paid', but reflects a partial refund in details"
,,,,,,Verify the user notification post partial refund,,User receives a notification regarding the partial refund
,,,,,,Initiate a full refund for the order,,Full refund is processed successfully
,,,,,,Check the order status after full refund,,Order status is updated to 'Refunded'
,,,,,,Verify the user notification post full refund,,User receives a notification regarding the full refund
QA-005,Test concurrency risk when cancelling and retrying payment transactions across sessions/devices,This test evaluates the concurrency handling mechanism for simultaneous cancellation and payment retry attempts on an order across different sessions or devices.,Manual,Test/path_to_testcases/Payment/OrderIntegration,integration;negative;edge,Initiate a payment process for an order,,Payment process is initiated
,,,,,,"From a different session/device, send a cancellation request for the same order",,Cancellation request is sent
,,,,,,"Simultaneously, retry payment process from the original session/device",,Payment retry is attempted
,,,,,,Verify eventual order status,,"System resolves concurrency and updates to either successfully cancelled or payment completed, based on business rules"
,,,,,,Verify user notifications,,User receives appropriate notifications based on the final order status outcome
